Film	Director	Leading actors	Year of cinema release	No of Oscars won	IMDB link	Guardian film page	Country	Category	summary
The Ladykillers	Alexander Mackendrick	Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers	1955		http://www.imdb.com/title/tt0048281/	http://www.guardian.co.uk/film/movie/36206/ladykillers	UK	Comedy	Five diverse oddball criminal types planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.
Duck Soup	Leo McCarey	Chico Marx, Groucho Marx, Harpo Marx, Margaret Dumont, The Marx Brothers, Zeppo Marx	1933		http://www.imdb.com/title/tt0023969/	http://www.guardian.co.uk/film/movie/36133/duck.soup	USA	Comedy	Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
Rushmore	Wes Anderson	 Bill Murray, Brian Cox, Jason Schwartzman, Olivia Williams	1998		http://www.imdb.com/title/tt0128445/	http://www.guardian.co.uk/film/movie/79577/rushmore	USA	Comedy	The extracurricular king of Rushmore preparatory school is put on academic probation.
Kind Hearts & Coronets	Robert Hamer	Alec Guinness, Dennis Price, Joan Greenwood	1949		http://www.imdb.com/title/tt0041546/	http://www.guardian.co.uk/film/movie/36180/kind-hearts-and-coronets	UK	Comedy	A distant poor relative of the Duke of D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
Monty Python? Life of Brian	Terry Jones	Eric Idle, Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Terry Jones	1979		http://www.imdb.com/title/tt0079470/	http://www.guardian.co.uk/film/movie/78168/monty-python-s-life-of-brian	UK	Comedy	Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah.
Airplane!	Jim Abrahams, David Zucker and Jerry Zucker	Julie Hagerty, Leslie Nielsen, Robert Hays	1980		http://www.imdb.com/title/tt0080339/	http://www.guardian.co.uk/film/movie/83228	USA	Comedy	A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
Election	Alexander Payne	Chris Klein, Matthew Broderick, Reese Witherspoon	1999		http://www.imdb.com/title/tt0126886/	http://www.guardian.co.uk/film/movie/79657/election	USA	Comedy	A high school teacher's personal life becomes complicated as he works with students during the school elections, particularly with an obsessive overachiever determined to become student body president.
His Girl Friday	Howard Hawkes	Cary Grant, Gene Lockhart, Ralph Bellamy, Rosalind Russell	1940		http://www.imdb.com/title/tt0032599/	http://www.guardian.co.uk/film/movie/76369/his-girl-friday	USA	Comedy	A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
The Big Lebowski	Joel Coen	Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi	1998		http://www.imdb.com/title/tt0118715/	http://www.guardian.co.uk/film/movie/77069/big.lebowski	USA	Comedy	The Dude Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.
This Is Spinal Tap	Rob Reiner	 Christopher Guest, Harry Shearer, Michael McKean, Rob Reiner	1984		http://www.imdb.com/title/tt0088258/	http://www.guardian.co.uk/film/movie/81384/this.is.spinal.tap	USA	Comedy	Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DeBergi on what proves to be a fateful tour.
